amateur,country_code,player_name,country,dg_id
0,ARG,"Contini, Martin",Argentina,19295
0,USA,"Coody, Parker",United States,27870
0,USA,"Coody, Pierceson",United States,28309
0,USA,"Cook, Austin",United States,18579
0,USA,"Cook, Ben",United States,24486
0,USA,"Cooke, David",United States,10310
0,AUS,"Cooke, Peter",Australia,8607
1,USA,"Cooper, Davis",United States,31049
0,USA,"Cootes, Roy",United States,26574
1,ENG,"Cope, Jack",England,28712
0,USA,"Cordes, Anthony",United States,27985
0,URU,"Cordoba, Cledy",Uruguay,16862
0,MEX,"Cordova, Diego",Mexico,27552
0,USA,"Corpening, Franklin",United States,13510
0,ENG,"Cort, Matthew",England,7313
0,MEX,"Cortes, Raul",Mexico,16436
1,BEL,"Cossement, Nathan",Belgium,30199
0,USA,"Couch, Chris",United States,4614
0,ENG,"Coupland, Dave",England,12427
0,USA,"Couples, Fred",United States,44
0,ESP,"Courtney, Jose Luis Gonzalez",Spain,24126
0,FRA,"Coussaud, Ugo",France,20727
1,FRA,"Couvra, Martin",France,27811
0,USA,"Covello, Vince",United States,11441
0,USA,"Cover, Patrick",United States,26102
0,USA,"Crabtree, Chris",Australia,10968
0,USA,"Crampton, Sebastian",United States,26575
0,USA,"Crancer, Ben",United States,25026
0,USA,"Crane, Ben",United States,6674
0,CAN,"Crawford, Aaron",Canada,18788
0,USA,"Crawford, Chris",United States,22043
0,AUS,"Crawford, Cory",Australia,17785
0,USA,"Creel, Joshua",United States,17570
0,CAN,"Creighton, Myles",Canada,26143
0,USA,"Creighton, Peter",United States,23050
0,GER,"Cremer, Sven",Germany,18743
0,USA,"Crick, Brandon",United States,14847
0,AUS,"Cripps, Jayden",Australia,27487
0,CAN,"Crisologo, Chris",Canada,23462
0,USA,"Crocker, Sean",United States,23610
0,ENG,"Croft, Daniel",England,28616
0,USA,"Cromie, Michael",United States,24984
0,RSA,"Cronje, Sean",South Africa,29494
0,USA,"Cross, Spencer",United States,29802
0,USA,"Crouch, A.J.",United States,27559
0,USA,"Crouch, T.T.",United States,19271
1,AUS,"Crowe, Harrison",Australia,24280
0,USA,"Crowe, Trace",United States,27780
1,POR,"Cruz Silva, Pedro",Portugal,27151
0,POR,"Cruz, Tiago",Portugal,8813
0,ESP,"Cuartero Blanco, Emilio",Spain,19459
0,AUS,"Cullen, Nick",Australia,14247
0,USA,"Cummins, Quade",United States,27996
0,USA,"Cunningham, George",United States,24960
0,RSA,"Curlewis, Andrew",South Africa,9899
0,USA,"Curran, Jon",United States,14699
0,USA,"Curry, Stephen",United States,23809
0,AUS,"Curtis, Lawrence",Australia,29096
0,ENG,"Curtis, Thomas",England,15209
0,USA,"Czuchry, Drew",United States,28419
0,USA,"D'Amario, Adam",United States,25132
0,BRA,"Da Silva, Adilson",Brazil,5239
0,RSA,"Daffue, MJ",South Africa,17068
0,USA,"Dahmen, Joel",United States,14509
0,USA,"Dale, Sean",United States,15118
0,USA,"Dalke, Brad",United States,21501
0,USA,"Daly, John",United States,863
0,CZE,"Danek, Stepan",Czech Republic,25946
0,USA,"Danielson, Charlie",United States,21310
0,AUS,"Dann, Charlie",Australia,20552
0,SWE,"Dantorp, Jens",Sweden,14018
0,IND,"Das, Shankar",India,10774
0,USA,"Davan, Michael",United States,17378
0,USA,"Davenport, Riley",United States,24523
0,RSA,"Davidse, Keenan",South Africa,13725
0,WAL,"Davidson, Jack",Wales,24052
1,WAL,"Davies, Archie",Wales,28638
0,ENG,"Davies, Gareth",England,7393
0,WAL,"Davies, Rhys",Wales,11527
0,USA,"Davis, Aaron",United States,26366
0,ENG,"Davis, Brian",England,5663
0,AUS,"Davis, Cameron",Australia,17786
0,USA,"Davis, Ryan",United States,29078
